latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,daynight
35.147708,-79.441617,4569,1866,2025-01-07,1553,L8,OLI,H,D
35.147978,-79.441611,4569,1865,2025-01-07,1553,L8,OLI,H,D
35.147982,-79.441941,4568,1865,2025-01-07,1553,L8,OLI,L,D
35.148253,-79.441936,4568,1864,2025-01-07,1553,L8,OLI,M,D
34.796056,-79.461708,4528,3167,2025-01-07,1553,L8,OLI,H,D
34.796326,-79.461703,4528,3166,2025-01-07,1553,L8,OLI,H,D
34.912381,-79.484169,4453,2738,2025-01-07,1553,L8,OLI,H,D
34.912655,-79.484492,4452,2737,2025-01-07,1553,L8,OLI,H,D
35.12306,-79.481592,4449,1959,2025-01-07,1553,L8,OLI,H,D
35.123331,-79.481587,4449,1958,2025-01-07,1553,L8,OLI,H,D
35.123064,-79.481921,4448,1959,2025-01-07,1553,L8,OLI,H,D
35.123335,-79.481916,4448,1958,2025-01-07,1553,L8,OLI,H,D
33.993533,-79.558823,4274,6138,2025-01-07,1553,L8,OLI,M,D
34.171157,-79.595518,4152,5483,2025-01-07,1553,L8,OLI,M,D
34.171427,-79.595513,4152,5482,2025-01-07,1553,L8,OLI,M,D
34.171161,-79.595843,4151,5483,2025-01-07,1553,L8,OLI,H,D
34.171431,-79.595839,4151,5482,2025-01-07,1553,L8,OLI,H,D
34.171702,-79.595834,4151,5481,2025-01-07,1553,L8,OLI,L,D
34.925,-79.635998,3990,2698,2025-01-07,1553,L8,OLI,L,D
34.296791,-79.75576,3654,5025,2025-01-07,1553,L8,OLI,H,D
35.382633,-79.784559,3517,1012,2025-01-07,1553,L8,OLI,H,D
35.382636,-79.784889,3516,1012,2025-01-07,1553,L8,OLI,M,D
34.354718,-79.81362,3474,4813,2025-01-07,1553,L8,OLI,H,D
34.354721,-79.813946,3473,4813,2025-01-07,1553,L8,OLI,H,D
33.823251,-80.014863,2876,6784,2025-01-07,1553,L8,OLI,H,D
33.823522,-80.01486,2876,6783,2025-01-07,1553,L8,OLI,H,D
33.904826,-80.032096,2820,6483,2025-01-07,1553,L8,OLI,H,D
33.905097,-80.032093,2820,6482,2025-01-07,1553,L8,OLI,H,D
33.904558,-80.032424,2819,6484,2025-01-07,1553,L8,OLI,L,D
33.904829,-80.032421,2819,6483,2025-01-07,1553,L8,OLI,H,D
33.905099,-80.032418,2819,6482,2025-01-07,1553,L8,OLI,H,D
33.904831,-80.032745,2818,6483,2025-01-07,1553,L8,OLI,H,D
35.217746,-80.037531,2757,1630,2025-01-07,1553,L8,OLI,H,D
35.218016,-80.037528,2757,1629,2025-01-07,1553,L8,OLI,H,D
34.856453,-80.161542,2392,2969,2025-01-07,1553,L8,OLI,H,D
34.856456,-80.16187,2391,2969,2025-01-07,1553,L8,OLI,H,D
34.856726,-80.161868,2391,2968,2025-01-07,1553,L8,OLI,H,D
34.856458,-80.162198,2390,2969,2025-01-07,1553,L8,OLI,M,D
34.456244,-80.187119,2326,4449,2025-01-07,1553,L8,OLI,H,D
34.455976,-80.187448,2325,4450,2025-01-07,1553,L8,OLI,M,D
34.456246,-80.187445,2325,4449,2025-01-07,1553,L8,OLI,H,D
34.60531,-80.273028,2059,3900,2025-01-07,1553,L8,OLI,H,D
34.60558,-80.273026,2059,3899,2025-01-07,1553,L8,OLI,H,D
34.605312,-80.273355,2058,3900,2025-01-07,1553,L8,OLI,H,D
34.605582,-80.273353,2058,3899,2025-01-07,1553,L8,OLI,H,D
35.503745,-80.330188,1862,580,2025-01-07,1553,L8,OLI,M,D
35.635609,-80.354933,1784,93,2025-01-07,1553,L8,OLI,H,D
